2231,2,63,105,116,6,74,438,4,152,2
972,6,65,97,131,82,105,221,2,193,1
703,2,62,9,43,32,100,455,7,461,2
3132,3,65,12,6,32,81,221,2,370,1
1862,0,7,26,16,0,105,207,5,443,2
2462,2,44,44,104,19,68,233,5,265,3
3126,2,63,121,6,60,93,28,1,353,1
2310,6,7,77,16,0,60,65,7,176,2
2085,2,7,44,109,82,106,155,2,300,3
208,2,44,98,117,60,90,63,7,168,2
2966,3,3,74,99,82,7,0,4,353,2
3079,6,65,12,113,6,66,373,2,108,2
2672,2,3,13,3,82,60,450,6,193,2
3709,2,65,12,122,0,45,221,6,396,3
3462,0,3,61,117,19,65,134,5,36,1
972,6,65,97,131,82,105,221,2,193,1
2462,2,44,44,104,19,68,233,5,265,3
2310,6,7,77,16,0,60,65,7,176,2
3079,6,65,12,113,6,66,373,2,108,2
3709,2,65,12,122,0,45,221,6,396,3
3462,0,3,61,117,19,65,134,5,36,1
629,3,3,74,77,6,100,0,5,115,1
1960,2,62,62,117,60,60,104,6,429,1
3716,4,3,77,126,60,11,0,2,337,2
806,3,63,133,131,82,7,207,5,82,2
3980,0,41,12,52,18,65,0,5,136,1
1054,4,65,112,93,60,68,207,5,365,2
1972,2,3,44,56,20,90,269,7,337,2
346,2,3,41,10,60,60,0,3,295,1
3930,4,63,78,3,20,70,408,4,239,2
3342,0,64,21,60,6,65,237,1,129,2
840,2,3,33,22,20,11,207,5,237,2
2340,0,3,44,47,32,45,111,7,337,2
3292,6,3,49,77,18,92,342,3,391,1
3906,2,44,62,99,60,60,155,7,112,2
215,4,44,62,22,36,62,342,7,373,1
511,2,7,12,54,60,11,65,2,140,3
1374,2,65,105,60,60,12,221,2,142,1
1414,2,7,44,80,9,105,155,2,435,3
3149,2,7,44,30,18,68,81,5,147,2
157,2,62,98,35,60,92,202,3,8,1
1940,2,3,12,116,82,5,155,6,68,1
1112,2,2,29,113,82,72,217,5,64,2
1289,6,3,44,122,60,45,0,2,54,2
171,3,3,44,6,82,92,0,1,161,2
3267,2,41,105,77,60,12,408,2,353,2
1974,4,63,105,128,20,81,207,5,192,3
2255,2,3,44,113,32,105,379,5,68,2
3489,3,3,77,60,60,105,455,2,71,2
510,7,3,77,6,82,45,207,5,284,2
4097,2,7,12,56,60,11,207,5,64,2
1386,7,7,75,80,60,45,207,5,44,3
2587,7,65,97,117,0,81,65,5,23,1
770,6,41,105,88,6,105,438,7,42,3
1685,3,44,98,88,62,11,233,3,436,2
2782,5,41,102,77,60,68,207,5,300,1
2396,3,7,52,117,18,7,221,2,350,2
722,4,41,105,131,36,65,217,1,0,2
121,8,41,105,116,9,65,438,6,110,2
2611,2,65,12,107,0,74,221,4,68,2
858,4,44,98,6,60,68,190,5,245,3
1503,6,3,12,22,77,11,99,4,161,2
2480,3,7,12,91,60,45,373,7,64,3
294,2,65,105,40,60,58,111,0,353,3
2628,2,3,62,113,60,37,380,2,353,3
57,4,2,29,16,32,50,41,4,442,3
616,2,65,83,21,77,7,172,6,292,1
2077,2,62,62,6,0,5,190,3,385,3
3017,1,62,136,14,0,45,202,3,416,3
79,7,3,44,122,60,7,65,4,108,1
412,2,7,44,99,60,105,99,4,185,3
1255,2,7,12,6,6,105,207,5,152,3
3208,2,7,105,56,18,68,207,5,103,1
1592,2,44,62,106,60,60,342,7,81,2
785,3,3,83,107,9,60,373,7,411,1
3120,3,65,105,125,6,68,207,5,71,3
3737,2,7,83,57,60,5,65,4,171,3
1405,5,7,12,139,77,105,221,7,266,2
1364,3,2,102,75,20,58,207,5,337,2
1560,3,3,83,22,82,68,207,5,264,1
1913,4,3,25,122,18,7,21,3,411,2
3623,3,7,41,100,0,76,380,5,389,1
3184,6,63,105,99,0,36,28,6,239,2
2193,0,65,125,75,60,65,373,6,253,2
3066,2,62,44,113,20,20,455,2,62,3
2804,0,2,107,40,20,74,28,4,340,2
1594,4,65,83,75,32,105,373,7,73,3
1393,4,62,25,75,60,20,479,3,31,2
1989,2,41,105,40,36,87,111,7,332,2
283,2,65,12,117,32,60,207,5,279,2
3201,2,62,112,64,18,68,207,5,334,2
1393,6,62,25,104,20,45,405,2,31,1
2650,6,7,12,10,9,105,172,5,258,1
1234,2,3,40,99,20,60,0,1,328,1
2921,4,3,49,10,60,60,155,1,79,2
3807,0,66,91,10,18,12,129,2,68,3
2929,8,41,105,40,32,68,207,5,193,2
2737,2,3,44,88,19,7,455,2,152,2
973,3,7,44,99,18,60,155,2,171,3
220,2,2,29,10,20,68,207,5,64,1
2168,4,41,107,116,60,7,207,5,251,2
2542,2,7,12,10,82,5,373,6,285,2
1138,6,7,26,10,60,45,65,7,79,1
3571,2,62,62,122,60,5,207,5,254,1
607,2,7,121,14,36,12,65,7,406,2
4098,2,65,12,109,18,81,150,4,140,3
1645,6,62,44,64,20,90,342,7,176,1
3017,3,3,125,80,60,92,0,6,416,3
2847,4,55,77,93,60,68,207,5,169,3
3841,2,7,121,113,20,60,172,7,391,2
71,4,2,83,128,50,98,422,3,68,3
1798,6,62,62,106,9,84,233,2,81,2
3779,4,25,130,88,60,68,207,5,171,2
3464,2,44,62,113,9,68,202,5,281,2
3979,6,65,12,122,32,12,65,5,98,2
2496,7,62,44,116,60,105,455,3,140,1
3864,8,7,4,60,36,60,0,2,142,2
1331,1,44,44,88,60,90,345,3,59,2
2650,4,41,105,3,60,7,237,2,258,2
3127,6,3,33,122,6,5,65,5,228,3
2026,4,3,44,6,19,60,207,5,31,2
3308,2,41,85,125,20,18,217,2,270,3
190,3,3,49,43,9,68,269,5,155,2
298,4,3,12,122,0,106,455,3,136,1
767,8,63,29,109,36,36,129,2,370,2
2879,2,44,62,93,60,68,207,5,136,2
2397,2,65,12,3,36,68,207,5,306,2
3397,2,44,126,56,60,90,190,3,98,2
2153,3,41,29,64,19,65,172,5,140,1
969,2,2,105,109,0,99,262,4,174,2
3968,3,65,97,88,60,106,207,5,31,1
1308,3,65,133,40,6,60,172,7,22,2
2368,2,44,25,21,50,92,259,7,161,3
3937,6,62,62,88,20,60,202,6,161,1
2676,2,41,105,54,18,7,221,3,310,3
485,6,62,12,56,6,90,455,1,385,2
2442,2,66,29,137,60,40,41,2,176,1
390,6,62,41,139,60,92,455,1,237,1
2383,2,3,44,122,60,11,342,2,221,1
1456,2,62,44,3,20,20,202,1,168,2
2617,4,65,44,57,20,105,79,5,289,2
3577,2,3,41,10,9,45,0,5,50,2
3628,2,62,44,6,0,20,345,3,353,2
2188,2,7,12,35,60,45,65,7,91,1
312,2,65,12,6,77,85,111,5,391,2
1044,2,63,71,111,60,68,207,5,171,2
4058,7,3,125,6,9,92,373,2,239,1
3902,4,44,98,77,32,92,202,1,168,2
3505,3,41,113,35,60,12,363,7,68,3
134,2,62,74,111,60,60,342,7,126,3
1514,6,3,44,43,9,90,65,7,353,2
3878,2,62,44,10,20,11,0,1,332,3
924,2,65,25,125,0,105,65,4,262,2
3752,1,65,41,77,18,58,111,2,156,2
417,4,7,12,104,6,92,65,1,16,2
3966,4,3,44,107,50,105,284,3,271,2
1460,2,62,62,21,50,68,455,5,239,2
3503,4,7,44,51,82,7,65,2,396,3
3016,2,65,12,3,60,105,111,2,12,3
1662,3,2,83,107,32,67,78,2,265,1
2608,3,37,33,93,64,68,207,5,52,3
2752,2,2,113,88,9,68,262,5,79,2
1213,7,2,29,35,32,68,509,5,337,3
2793,1,41,105,117,19,65,221,7,454,1
268,3,7,152,93,60,68,207,5,205,1
3598,3,65,83,10,60,92,207,5,289,1
3649,3,2,71,117,9,12,217,2,393,2
3386,2,65,12,125,82,106,65,2,329,2
3591,6,3,44,109,32,5,380,5,454,2
2806,6,44,41,109,13,64,207,5,185,1
303,3,3,25,43,60,100,342,1,64,2
3109,2,65,27,99,60,105,221,0,170,3
833,2,7,12,88,60,106,373,2,300,1
2524,3,57,107,77,60,68,207,5,17,2
1983,4,44,112,111,60,51,42,3,161,3
1661,8,2,83,139,32,81,207,5,355,1
2638,2,44,62,126,82,92,342,2,185,2
2787,2,3,44,137,60,45,155,7,161,2
2920,3,65,83,35,19,12,172,3,105,1
593,2,44,62,16,20,90,202,1,455,3
3962,2,3,44,40,18,11,65,2,440,3
3435,2,3,54,122,0,60,207,5,264,2
45,2,2,35,66,9,12,217,2,168,2
2772,3,7,25,75,20,105,65,2,337,2
1188,2,65,29,22,77,7,268,7,239,3
2581,7,2,29,111,60,81,129,6,239,2
233,3,62,98,10,19,90,342,7,128,1
3663,4,63,105,104,77,7,217,5,289,2
4015,3,7,12,88,77,68,207,5,76,1
1322,3,65,105,75,20,106,221,2,350,3
731,5,7,12,3,32,105,221,5,262,3
2784,8,41,105,57,9,12,172,7,219,2
1204,2,7,125,57,32,106,373,7,176,2
3052,4,63,105,40,20,45,217,6,289,3
2182,3,7,49,88,60,105,0,1,422,2
2617,4,41,105,88,6,68,262,5,289,2
641,2,65,83,16,60,65,155,7,334,1
2937,8,62,61,77,60,11,63,7,102,1
2652,2,65,12,104,82,68,207,5,136,3
670,4,3,62,111,60,90,342,6,42,3
2605,3,3,41,3,6,92,0,7,194,1
2751,4,63,105,131,60,95,217,6,168,2
3109,2,65,27,21,9,68,207,5,170,2
3874,6,65,12,43,60,65,221,7,331,2
3726,6,44,98,117,19,20,345,3,185,3
1772,6,65,12,40,9,45,207,5,176,3
528,6,7,77,77,6,18,375,2,337,3
520,0,3,12,57,9,45,0,7,72,2
1731,8,7,74,54,32,45,207,5,327,2
1162,2,65,113,110,60,105,362,2,364,1
2323,4,41,29,126,77,105,207,5,15,2
1527,3,7,44,22,9,11,155,2,185,3
3790,2,3,62,88,60,105,155,2,158,3
1797,0,65,105,77,6,0,172,5,353,1
4046,8,65,83,56,60,83,373,4,416,1
1147,4,62,12,106,32,92,455,1,337,2
2049,4,2,113,126,82,56,207,5,193,2
1287,4,41,71,116,36,7,262,7,168,2
847,2,7,77,113,32,20,0,1,353,3
693,5,66,21,39,60,68,41,5,408,2
220,2,63,29,56,32,68,207,5,64,1
495,5,3,48,15,36,68,207,5,233,2
2532,2,3,44,128,20,5,389,2,207,1
2496,6,44,62,6,60,92,63,7,140,2
901,3,7,12,6,82,68,207,5,468,2
2525,3,44,44,43,60,60,202,3,176,2
2815,0,62,40,77,60,87,455,6,211,1
1266,4,41,45,117,60,68,207,5,317,1
2462,2,7,12,113,6,60,0,7,265,2
1303,7,25,107,56,60,98,509,2,354,2
2861,2,7,12,6,60,98,221,7,396,2
1979,2,3,74,99,0,68,207,5,23,1
2072,2,3,12,88,32,11,0,6,370,1
2323,2,3,12,113,6,60,155,1,15,1
3985,5,65,78,75,60,81,143,2,155,2
457,2,62,44,16,20,100,455,7,110,2
3880,2,7,12,14,9,20,0,1,108,1
329,3,44,112,116,50,5,195,5,69,2
1112,6,65,12,64,60,68,207,5,64,1
3777,4,41,83,14,9,65,373,1,289,1
3677,5,41,105,116,6,68,207,5,303,3
4014,6,44,62,40,0,90,372,3,310,2
3694,6,65,26,117,60,58,294,6,337,2
2478,6,44,98,122,60,60,190,3,73,1
1523,2,7,12,22,6,60,221,5,461,2
1083,4,7,125,113,18,60,65,3,64,2
371,4,3,44,64,60,100,65,7,393,1
1931,4,3,8,77,60,60,155,7,156,3
1771,5,65,73,16,60,12,221,2,79,3
1745,2,3,105,14,0,7,221,0,176,1
3045,3,7,61,10,60,11,155,2,447,2
2380,2,65,41,117,60,68,221,5,121,1
193,2,41,12,56,6,98,217,1,434,3
1748,7,44,62,10,60,92,345,3,268,2
1589,8,41,97,57,60,12,172,7,298,2
919,6,7,44,22,9,68,207,5,142,1
982,8,7,12,107,20,68,207,5,161,2
2861,6,62,62,139,77,90,405,1,396,2
1290,2,62,44,6,60,100,124,7,42,1
41,2,3,118,139,60,68,373,5,317,2
819,4,3,77,60,60,106,207,5,337,2
